email,class code,
MUL0018,"08ACE-F,08ENG-F,08FA-F,08FRE-F,08GEO-F,08HIS-F,08MAE-2,08MEB-Bnd2,08MUS-F,08PEd-F,08SCE-2,08V3D-F,08Spt-1-CricketM1"
MUL0019,"08ACE-B,08ENG-B,08FA-B,08FRE-B,08GEO-B,08HIS-B,08MAT-1b,08MUS-B,08PEd-B,08SCI-1b,08V3D-B,08Spt-1-SoftballF1"
ANG0002,"09BYT-A4,09ENG-C,09FA-C,09GEO-C,09HIS-C,09MAT-1b,09PEd-C,09SCI-1b,09FRE-1,09FOO-6,09VIS-3"
OBR0006,"07ART-H,07ENG-H,07FA-H,07FOO-H,07FRE-H,07GEO-H,07HIS-H,07ICT-H,07MAT-2a,07MEB-NonBnd,07MUS-H,07PEd-H,07SCI-2a,07SPT-1-CricketM1"
BRI0009,"10ENG-C,10FA-C,10GEO-3b,10HIS-3a,10MAT-1b,10PEd-C,10SCI-1b,10FIL-1,10OEd-2,10FOO-2,10HMv-2"
OBR0008,"07ART-J,07ENG-J,07FA-J,07FOO-J,07FRE-J,07GEO-J,07HIS-J,07ICT-J,07MAT-J,07MUS-J,07PEd-J,07SCI-J,07SPT-1-CricketM1"
CEN0001,"12MMe-1,12PHY-2,12MSp-1,12MFu-6,12EAL-2"
FOR0010,"09BYT-A3,09ENG-D,09FA-D,09GEO-D,09HIS-D,09MAT-D,09PEd-D,09SCI-D,09CER-1,09FOO-3,093DM-4,09DRA-2"
FOR0011,"09BYT-A3,09ENG-A,09FA-A,09GEO-A,09HIS-A,09MAT-1b,09PEd-A,09SCI-1b,09LIT-2,09MSL-1,09DRA-3,09VIS-3"
AMN0002,"11FA-A,12MMe-3,11ENG-5,11CHM-4,11PHY-2,11MED-2"
FOR0013,"11FA-D,11MMe-1,11CHM-3,12LIT-1,11ENG-8,12PSY-4"
CAM0008,"11FA-B,11ECO-1,11CHM-3,11MMe-5,11GEO-1,11ENG-9,11BIO-3"
TAN0020,"12CHM-1,12ENG-6,12MMe-6"
AND0031,"09BYT-B1,09ENG-J,09FA-J,09GEO-J,09HIS-J,09MAT-J,09PEd-J,09SCI-J,09LIT-2,09VIS-1,09CTc-4,09MSL-3"
AND0032,"09BYT-A8,09ENG-D,09FA-D,09GEO-D,09HIS-D,09MAT-D,09PEd-D,09SCI-D,09FOO-2,09MSL-1,09CER-3,09DRA-3"
AND0033,"08ACE-I,08ENG-I,08FA-I,08GEO-I,08HIS-I,08MAT-I,08MUS-I,08PEd-I,08SCI-I,08V3D-I,08Spt-1-Swimming"
AND0035,"07ART-K,07ENG-K,07FA-K,07FOO-K,07GEO-K,07GMN-K,07HIS-K,07ICT-K,07MAT-K,07MUS-K,07PED-K,07SCI-K,07SPT-1-VolleyballM1"
JOV0019,"11FA-E,11ECO-1,11CHM-2,11MMe-4,11ENG-10,11PHY-2,11ACC-2"
CUR0007,"11FA-C,11ENG-1,11ThS-1,11STA-1,11MGF-3,11LIT-1,11MED-2"
KAH0004,"09BYT-A4,09ENG-C,09FA-C,09GEO-C,09HIS-C,09MAE-1,09PEd-C,09SCE-1,09CTc-1,09FOO-3,09GMN-2"
KAH0006,"09BYT-B1,09ENG-G,09FA-G,09GEO-G,09HIS-G,09MAE-2,09PEd-G,09SCE-2,09CTc-1,09MSL-2,093DM-4,09FOO-5"
RAO0001,"07ART-M,07ENG-M,07FA-M,07FOO-M,07GEO-M,07GMN-M,07HIS-M,07ICT-M,07MAT-M,07MUS-M,07PED-M,07SCI-M,07SPT-1-TennisF"
